section,part,start_page,end_page,part_summary
Section 5. Ongoing Engagement Analysis,Part 6. Partner and Collaborator Feedback,92,94,"The CalWORKs report highlights several key trends and changes in service delivery. The feedback from partners and collaborators suggest that efforts to improve client engagement and reduce sanctions have been successful, with measures like the Family Support Assessment (FSA) being effective in assisting clients to navigate service networks. The report also highlights the importance of a strength-based approach and empathy in engaging clients. 

A significant shift noted in service usage is the need for transitional support for clients transferring from community colleges to four-year degree programs, indicating a trend towards higher education among clients. 

Barriers to access include mental health issues, complex family needs, domestic violence, unstable housing, high stress environments, living in poverty, socio-cultural challenges, and lack of experience in accessing services. These barriers highlight a need for further support and tailored services to meet clients' diverse needs. 

Performance metrics indicate a higher than average sanction rate in Orange County, which is currently under review by the Cal-OAR team. The report suggests the need for a more simplified process to cure Welfare-to-Work (WTW) sanctions that is flexible and tailored to client needs.

In terms of population trends, the report suggests the importance of case managers developing supportive relationships with clients to facilitate engagement and motivation. 

Lastly, the report indicates that further review and analysis are needed to identify targeted areas for improvement in the coming months."
Section 6. Supportive Service Analysis,Section 6. Supportive Service Analysis,95,94,
Section 7. Education Analysis,Section 7. Education Analysis,95,95,"The report does not provide any specific details or data on the CalWORKs-related trends, service changes, or quantitative outcomes in the 'Section 7. Education Analysis' as well as 'Section 6. Supportive Service Analysis' during the 2021-2026 Cal-OAR cycle. Therefore, it is not possible to summarize any shifts in service usage, access barriers, performance metrics, or population trends based on this text."
Section 8. Employment and Wages Analysis,Part 1. Employment and Wages Analysis,96,99,"The CalWORKs report for Orange County showed several trends in employment rate, wage progression, and post-CalWORKs employment rate. The median earnings for those exiting the program between Oct 2019 to Sep 2020 remained steady except for a spike in the April to June 2020 exit quarter. The employment rate for Orange County and California showed minimal variation, with the highest being in the July to September 2021 period. 

For those exiting between April 2020 to March 2021, Orange County's median earnings at PQ 2 and PQ 4 trended upward, while the state's median earnings at PQ 4 trended downward. The Post CalWORKs Employment Rate for Cohort 2 for Orange County reflected an upward trend at PQ 2, but a downward trend was observed at PQ 4 and PQ 2 for the state's rate. 

However, the data might be skewed due to the impact of COVID-19 and stay-at-home orders on the travel and tourism industries prevalent in Orange County. 

The report also highlighted an increasing housing wage in Orange County, which could pose challenges for clients in securing ""housing wage"" employment. The agency plans to prioritize the removal of barriers and support skill building, education, and employment activities to help clients secure better-paying jobs. It was noted that success for Orange County WTW participants is correlated with their educational and vocational achievements. The report suggests that for self-sufficiency, Orange County CalWORKs clients would need to earn approximately $75,529 per year."
Section 8. Employment and Wages Analysis,Part 2. Demographic Analysis,100,101,"The Demographic Analysis section of the CalWORKs county report highlights disparities within different population subgroups, including race, language, and gender. 

Race/Ethnicity: The Wage Progression for clients who identified as Asian, White, and Black was lower compared to Hispanic and ""Other Race/Ethnicity"" counterparts in Cohorts 1 and 2. Moreover, Whites had an Employment Rate of 24.5%, which was 6.8% lower than the aggregate rate. Post-program employment rates for Asians and Whites were also lower than the average.

Language: Spanish and ""Other Language"" speaking clients in Cohort 1 for PQ4 had lower than average wage progression. Their Employment Rate was also lower than the aggregate. The same trend was observed for Post CalWORKs Employment Rate.

Gender: Female clients had lower wage progression than male clients. However, female clients maintained a slightly higher Post CalWORKs Employment Rate than male clients.

AU Type: Clients in Cohort 1 for PQ4 with case types Non-MOE and TANF Timed-Out demonstrated lower than average wage progression.

The report points out that no disparities were related to AU type or gender in employment rates, but disparities were observed when analyzing data by AU type, gender, language, and race for wage progression. 

The Cal-OAR Team is yet to identify the contributing factors to these disparities but plans to continue exploring systemic causes and developing strategies to address them. All clients are engaged in employment and/or educational activities, assessed for barriers, and connected to barrier removal services when appropriate. However, there may be variations in services available at different CW/WTW offices due to capacity and population needs. Further comparative analysis and investigation are needed to assess potential disparities."
Section 8. Employment and Wages Analysis,Part 3. Outcome Analysis,102,102,"The report indicates that the agency has been actively working to reduce observed disparities by providing equitable services to all populations, with a particular focus on community empowerment and promotion of equitable outcomes. The Cal-OAR team is committed to identifying and understanding systemic causes of these disparities and developing strategies to address them during the Cal-CQI process. This analysis will be informed by individual-level data from the Cal-OAR 19 reports, as well as emerging themes from the Cal-CSA. The report does not provide specific details on service usage shifts, access barriers, performance metrics, or population trends, as these areas are noted to be not applicable during the 2021-2026 Cal-OAR cycle."
Section 8. Employment and Wages Analysis,Part 4. System Analysis,103,104,"The CalWORKs program in the county is primarily focused on transitioning adults receiving cash aid from dependency to self-sufficiency. This is achieved through employment-focused and training activities, which lead to unsubsidized employment. Programs offered include Vocational Training (VT) and Subsidized Employment (SE), provided through various contracted partners.

VT is a post-assessment, transitional, and short-term training activity tailored towards growth-oriented or high-demand fields. It prepares participants for specific trades or vocations. The case manager and contracted provider work with each client to assess needs and career goals and arrange an appropriate VT program.

SE provides clients with little or no work history the opportunity to gain soft skills and build workplace confidence through paid employment at public, private, or non-profit worksites. This increases their chances of securing Unsubsidized Employment after the SE period ends.

Additionally, the Welfare-to-Work (WTW) program refers clients to Vocational Education Activities including Adult Basic Education, English as a Second Language, General Education Development (GED) Academy, GED Preparation, and others for career and wage progression.

In 2021, 32% of the total activities of WTW enrollees were Unsubsidized Employment, 1% were SE, and 3% were self-employment. Case managers play a crucial role in assessing each client's employability and identifying barriers to employment. They update and maintain plans to help clients increase income and self-sufficiency. Services provided by case managers include coaching, mentoring, assessing individual goals, identifying service needs, and coordinating case conferences."
Section 8. Employment and Wages Analysis,Part 5. Practice Changes to Consider,105,108,"The CalWORKs report highlights several significant trends, changes, and outcomes. A key finding reveals that the minimum wage required for a worker to afford a median-priced apartment in Orange County increased by 5.8% to $36.31 per hour or $75,529 per year, indicating that minimum wage jobs are not viable for long-term success for the county's CalWORKs clients. 

There has been a shift in service provision as of 2023 with the introduction of Employment Support and Post-Aid Supportive Services (ES PASS) to assist with needs such as transportation, housing, and childcare, and to support job retention for up to 12 months post-aid. Before this, the only Post Aid service provided was child care.

The report also emphasizes the strong correlation between educational attainment and median earnings, with higher education levels also linked with lower poverty rates. However, it was found that 45% of the Agency's CalWORKs clients who completed an appraisal in 2021 only had a high school degree, and 20.9% had less than a high school degree.

To address the barriers to employment and promote self-sufficiency, the Agency has developed Integrated Job Services (IJS), which includes Employment Services, Employment Support and Post-Aid Supportive Services, and Subsidized Employment/Vocational Training Services. The implementation of IJS has streamlined the provision of employment services to Welfare-to-Work participants and improved both internal and external communication.

The report also suggests the potential benefits of transitional job programs as a bridge to unsubsidized employment and emphasizes the importance of education and training in skills demanded in the local labor market."
Section 8. Employment and Wages Analysis,Part 6. Partner and Collaborator Feedback,109,110,"The Partner and Collaborator Feedback section of the CalWORKs county report revealed several key trends and changes in the delivery of the CalWORKs program. The feedback emphasized the need for clients to achieve self-sufficiency through job placement with a sufficient salary. However, the focus group participants agreed that educational attainment levels of clients need to be improved to meet this objective. 

There is an increased emphasis on promoting English as a Second Language (ESL) and Subsidized Employment to aid in smoother transitions to unsubsidized jobs. Participants also noted that many clients find the process of applying for college lengthy and complex, indicating access barriers that need to be addressed. They called for more intensive case management with a holistic approach at the initial stages to lead clients to more suitable activities. 

The feedback also pointed out that due to lack of education, many CalWORKs clients end up in minimum wage jobs that are insufficient to cover basic expenses given the high cost of living in the area, leading to unstable employment and potential homelessness. The need to address various barriers before engaging clients in Welfare-To-Work (WTW) activities was highlighted, including the provision of child care and transportation. 

The feedback supports the development of a tailored WTW plan that assesses the client's educational level, job history, and skill set to assign them appropriate activities. It was also noted that family dynamics often correlate with the successful engagement of clients in an Employment or School Activity, and barriers such as domestic abuse, mental health issues, substance abuse, homelessness, and sociocultural challenges need to be addressed. 

Finally, it was found that when case managers establish a high trust relationship with clients, success rates increased. The Agency has not yet finalized any targeted improvement strategies, but they agreed with the themes and recommendations provided in this section and will conduct further review and analysis to identify areas for improvement."
Section 9. Exit and Reentries Analysis,Part 1. Exit and Reentries Analysis,111,112,"The report indicates that the rate of program re-entries after exit with earnings in Orange County was generally higher than the statewide average, with a high of 16.2% in Q4 2019 and a low of 8.6% in Q2 2020. However, it trended downward from Q4 2019 to Q3 2020. Similarly, the rate of exits with earnings was also higher than the statewide average, peaking at 46.7% in Q3 2021 but experiencing an initial decrease in Q1 2021. 

The rate of program re-entries was lower than the statewide average and also trended downward from Q4 2019 to Q3 2020. These performance measures experienced significant fluctuations due to the impact of COVID-19. 

Factors that contributed to these performance measures include stimulus payments and enhanced unemployment benefits, which made low-wage employment less attractive. Other factors include the loss of housing assistance upon exiting the program, which created additional stress for clients. 

Post Aid services offered through ES PASS were identified as a potential solution to these challenges, providing transitional assistance with housing, childcare, transportation, and other life skills to improve performance measures. 

The report also revealed that 75% of participants in the Caseworker Focus Group agreed that clients who exit the CalWORKs program often return within 12 months due to a lack of post-aid services. 

Service delivery and the availability of services have been impacted by these trends and changes, although the specific impacts were not outlined in the provided text."
Section 9. Exit and Reentries Analysis,Part 2. Demographic Analysis,113,113,"The Cal-OAR Team's demographic analysis revealed several disparities among different subpopulations within the CalWORKs program. The Rate of Program Re-entries for Black clients was found to be 9% higher than the aggregate rate, although the sample size was small. Disparities were also observed in the Rate of Program Re-entries and Rate of Exits with Earnings when data was analyzed by race, Assistance Unit (AU) type, and primary language. 

There were no disparities found when analyzing data by gender. The Rate of Exits with Earnings for Non-MOE and Two Parent cases was 5.6% lower than the aggregate rate. Clients whose primary language was listed as ""Other Language"" had a Rate of Exits with Earnings 11.5% lower than the aggregate rate. 

Similarly, clients who identified as ""Other Race/Ethnicity"" and White had a Rate of Exits with Earnings respectively 5.2% and 8% lower than the aggregate rate. Despite these findings, the Cal-OAR Team did not identify any contributing factors to the rate variations and will continue to explore systemic causes and develop strategies to address these disparities."
Section 9. Exit and Reentries Analysis,Part 3. Outcome Analysis,114,114,"The Orange County CalWORKs program is working towards ensuring all clients are engaged in employment and/or educational activities and are assessed for barriers, with removal services offered where appropriate. The County Welfare Departments (CWD) have established policies and procedures for equitable service provision, with case and quality assurance reviews in place to identify potential issues. While no known disparities have been identified within the services provided, variations may exist between different CalWORKs offices, based on capacity and population needs.

The agency aims to reduce any observed disparities and promote equitable outcomes. To achieve this, the Cal-OAR Team is investigating systemic causes of potential disparities and developing strategies to address them. Further assessments are planned to compare the engagement activities offered by the agency with community services, and to explore potential disparities among various measures and subpopulations.

Post-submission of the Cal-CSA, the Cal-OAR Team plans to analyze individual level data through the Cal-OAR19 reports, discussing emerging themes with focus groups and partners. No applicable changes are expected during the 2021-2026 Cal-OAR cycle."
Section 9. Exit and Reentries Analysis,Part 4. System Analysis,115,115,"The report highlights several key aspects of the CalWORKs program, including successes, challenges, and service delivery mechanisms. The Housing Support Program (HSP) is noted for providing post-aid services, such as continued rental assistance and housing support to clients whose aid has been discontinued due to exceeding income limits. However, to receive these services, clients must have been connected to HSP before leaving aid. The agency is planning to enhance the utilization and connections to HSP during the Cal-CQI process.

The Home Visiting Program (HVP) is another service emphasized in the report. It provides voluntary, high-quality, home visiting services to support the health, development, and well-being of pregnant and parenting individuals. The program's long-term goals include promoting self-sufficiency, supporting the development of children living in poverty, and preparing parents for employment.

Child care is the only post-aid service currently provided to clients who exit the program with earnings. Employed former clients can apply for child care services during their 24 months of post-aid eligibility.

The report does not provide further information on any shifts in service usage, access barriers, performance metrics, or population trends. It also states that no previous Cal-SIP strategies will be considered for the 2021-2026 Cal-OAR cycle."
Section 9. Exit and Reentries Analysis,Part 5. Practice Changes to Consider,116,117,"The report discusses several CalWORKs program adjustments and trends to enhance the employability of Welfare-To-Work (WTW) participants. The agency has developed Integrated Job Services (IJS), which includes three service components: Employment Services, Employment Support and Post-Aid Supportive Services (ES PASS), and Subsidized Employment/Vocational Training Services. The ES PASS, in particular, is designed to assist both current and former WTW participants towards achieving self-sufficiency by addressing basic needs such as transportation, housing, childcare, and additional support for job retention.

The agency is focusing on early inputs in CWWTW and enhancing Post Aid services, recognizing that long-term results depend on various factors. The report notes that one-fifth to one-third of clients who left TANF returned within the following year, particularly those with low levels of education, little past work experience, and poor health. However, those receiving subsidized childcare, public health insurance, or government help with expenses were less likely to return to welfare.

The report also highlighted the importance of post-welfare services, such as skill-building services and assistance with obtaining other benefits like Food Stamps and health insurance. The implementation of ES PASS is identified as a significant change related to Program Exits and Re-entries. The Cal-OAR Team plans to study this new service rollout to better address the challenges that destabilize families after they leave CW/WTW."
Section 9. Exit and Reentries Analysis,Part 6. Partner and Collaborator Feedback,118,119,"Partners and collaborators of the CalWORKs program provided feedback on the program's measures, indicating agreement with the observed themes and recommendations. They highlighted the need for continued home visits after clients exit the program as a way to assess any arising issues, strengths, and resources. 

The focus groups conducted in August and September 2022 underscored the need for upskilling CalWORKs clients to increase their competitiveness in the job market. They observed that clients often end up in lower-end, temporary jobs, which doesn't help them move past minimum wage jobs. They also emphasized the importance of Post Aid services for a period of six to twelve months in areas such as housing, childcare, transportation, as well as essential life skills training. 

The Agency has not yet finalized any targeted improvement strategies, but ongoing discussions aim to identify specific performance measures to focus on in the upcoming months. Feedback from both partner meetings and focus groups aligns with the analysis conducted by the Cal-OAR Team. 

Orange County expressed interest in collaborating with counties that have strong performance in this category. More in-depth review and analysis will be conducted to identify targeted areas for improvements within the next few months. No specific numerical trends, access barriers, or population trends were mentioned in this section of the report."
